turn,card1,card2,chooser,metric,value1,value2,div1,div2,winner
49,3;euripides-electra;9;2;0.5;0.8;1.5;8,4;aristophanes-the-frogs;16;3;0.29;0.82;1.78;14,2,averageClustering,0.8,0.82,-0.03906249999999978,-0.01906249999999987,2
50,13;goethe-gotz-von-berlichingen-with-the-iron-hand;79;5;0.09;0.87;2.49;46,31;brecht-mother-courage-and-her-children;35;3;0.24;0.89;1.95;30,2,maxDegree,46.0,30.0,20.46875,4.46875,1
51,7;jonson-volpone-or-the-fox;26;3;0.5;0.86;1.66;21,2;sophocles-antigone;9;3;0.44;0.78;1.58;7,1,averagePathLength,1.66,1.58,0.08875000000000077,0.16875000000000062,2
52,23;kivi-heath-cobblers;25;4;0.39;0.85;1.71;21,18;mitford-rienzi;34;2;0.31;0.87;1.69;33,2,maxDegree,21.0,33.0,-4.53125,7.46875,2
53,27;strindberg-miss-julie;3;1;1;1;1;2,9;racine-andromaque;8;3;0.43;0.64;1.79;5,2,density,1.0,0.43,0.58375,0.013749999999999929,1
54,8;barca-life-is-a-dream;18;3;0.4;0.84;1.66;14,10;moliere-the-miser;13;2;0.62;0.83;1.39;12,1,averagePathLength,1.66,1.39,0.08875000000000077,0.3587500000000008,2
55,5;marlowe-doctor-faustus-quarto-of-1616;46;4;0.16;0.91;1.91;42,16;goethe-faust-part-one;115;3;0.2;0.98;1.7;67,2,size,46.0,115.0,8.78125,77.78125,2
56,15;inchbald-lovers-vows;15;3;0.54;0.85;1.53;12,20;grabbe-napoleon-or-the-hundred-days;259;6;0.09;0.96;2.83;106,2,size,15.0,259.0,-22.21875,221.78125,2
57,19;hugo-hernani-or-castilian-honour;30;3;0.29;0.89;1.92;24,12;goldoni-the-servant-of-two-masters;13;3;0.59;0.87;1.42;11,2,averagePathLength,1.92,1.42,-0.17124999999999924,0.32875000000000076,2
58,29;schnitzler-la-ronde;11;5;0.22;0.15;2.81;3,25;caragiale-a-lost-letter;17;3;0.73;0.91;1.28;15,2,averagePathLength,2.81,1.28,-1.0612499999999994,0.46875000000000067,2
59,13;goethe-gotz-von-berlichingen-with-the-iron-hand;79;5;0.09;0.87;2.49;46,6;shakespeare-hamlet;34;3;0.34;0.86;1.7;30,2,maxDegree,46.0,30.0,20.46875,4.46875,1
60,31;brecht-mother-courage-and-her-children;35;3;0.24;0.89;1.95;30,11;behn-the-rover-parts-one-and-two;43;3;0.38;0.84;1.62;41,1,maxDegree,30.0,41.0,4.46875,15.46875,2
61,27;strindberg-miss-julie;3;1;1;1;1;2,24;ibsen-a-dolls-house;9;2;0.44;0.81;1.56;8,2,averagePathLength,1.0,1.56,0.7487500000000007,0.18875000000000064,1
62,9;racine-andromaque;8;3;0.43;0.64;1.79;5,1;aeschylus-the-persians;6;2;0.53;0.76;1.47;5,1,density,0.43,0.53,0.013749999999999929,0.11374999999999996,2
63,13;goethe-gotz-von-berlichingen-with-the-iron-hand;79;5;0.09;0.87;2.49;46,17;pushkin-boris-godunov;79;6;0.11;0.92;3.03;29,2,size,79.0,79.0,41.78125,41.78125,0
64,27;strindberg-miss-julie;3;1;1;1;1;2,21;gogol-the-government-inspector;30;3;0.5;0.88;1.52;26,2,maxDegree,2.0,26.0,-23.53125,0.46875,2
65,24;ibsen-a-dolls-house;9;2;0.44;0.81;1.56;8,32;beckett-waiting-for-godot;5;2;0.8;0.87;1.2;4,2,averagePathLength,1.56,1.2,0.18875000000000064,0.5487500000000007,2
