name;size;diameter;density;averageClustering;averagePathLength;maxDegree
pisarev-poezdka-v-kronshtadt;11;2;0.7090909090909091;0.8522366522366521;1.290909090909091;10
pisemskij-gorkaja-sudbina;23;3;0.44664031620553357;0.7849708199250535;1.5731225296442688;19
plavilshchikov-ermak-pokoritel-sibiri;11;2;0.5818181818181818;0.8285714285714285;1.4181818181818182;10
plavilshchikov-sgovor-kutejkina;9;1;1;1;1;8
prutkov-blondy;3;1;1;1;1;2
prutkov-chereposlov-sirech-frenolog;9;1;1;1;1;8
prutkov-fantaziya;13;3;0.6153846153846154;0.8999000999001;1.435897435897436;11
prutkov-oprometchivyj-turka;7;2;0.7619047619047619;0.8095238095238094;1.2380952380952381;6
prutkov-spor-drevnih-grecheskih-filosofov;2;1;1;0;1;1
prutkov-srodstvo-mirovyh-sil;10;1;0.044444444444444446;0;1;1
pushkin-boris-godunov;79;6;0.10613437195715676;0.8936395873434949;3.026614735475495;29
pushkin-kamenniy-gost;11;3;0.45454545454545453;0.8606060606060606;1.8363636363636364;6
pushkin-mocart-i-saleri;2;1;1;0;1;1
pushkin-pir-vo-vremja-chumy;7;2;0.7142857142857143;0.8857142857142858;1.2857142857142858;6
pushkin-rusalka;18;4;0.37254901960784315;0.8343915343915344;1.8496732026143792;14
pushkin-skupoj-rytsar;5;2;0.6;0.8666666666666668;1.4;4
pushkin-stseny-iz-rytsarskih-vremen;23;3;0.4268774703557312;0.7998938259807824;1.6205533596837944;21
rostopchina-neludimka;12;3;0.42424242424242425;0.7503306878306878;1.621212121212121;10
saltykov-shchedrin-smert-pazuhina;15;3;0.5523809523809524;0.8334199134199135;1.4761904761904763;12
sollogub-chinovnik;6;1;1;1;1;5
sudovshchikov-neslyhannoe-divo;9;2;0.6111111111111112;0.8222222222222223;1.3888888888888888;8
sumarokov-artistona;11;3;0.38181818181818183;0.606926406926407;1.8;7
sumarokov-chudovischi;11;2;0.7090909090909091;0.8127705627705629;1.290909090909091;10
sumarokov-dimitrij-samozvanets;6;2;0.7333333333333333;0.7666666666666666;1.2666666666666666;5
sumarokov-gamlet;10;4;0.4;0.5099999999999999;1.8222222222222222;6
sumarokov-horev;12;2;0.3787878787878788;0.7795454545454547;1.621212121212121;11
sumarokov-opekun;8;2;0.6428571428571429;0.8351190476190476;1.3571428571428572;7
sumarokov-pridanoe-obmanom;5;2;0.8;0.8666666666666666;1.2;4
sumarokov-pustaja-ssora;7;2;0.8095238095238095;0.9238095238095239;1.1904761904761905;6
sumarokov-rogonosets-po-voobrazheniju;7;2;0.9523809523809523;0.9523809523809524;1.0476190476190477;6
sumarokov-semira;10;3;0.4;0.6854761904761906;1.6888888888888889;8
sumarokov-sinav-i-truvor;6;2;0.6666666666666666;0.8055555555555555;1.3333333333333333;5
sumarokov-ssora-u-muzha-s-zhenoj;8;1;1;1;1;7
sumarokov-tresotinius;11;3;0.5272727272727272;0.7874458874458874;1.5454545454545454;8
sumarokov-vzdorschitsa;8;2;0.8571428571428571;0.9285714285714286;1.1428571428571428;7
sukhovo-kobylin-delo;20;3;0.3894736842105263;0.8242180287033228;1.6736842105263159;17
sukhovo-kobylin-smert-tarelkina;24;3;0.3115942028985507;0.8472261126672892;1.8405797101449275;17
sukhovo-kobylin-svadba-krechinskogo;11;3;0.6;0.7759740259740261;1.4181818181818182;9
tolstoy-smert-ioanna-groznogo;70;4;0.13747412008281573;0.8199526709071019;2.1759656652360513;30
tolstoy-tsar-boris;102;3;0.20559114735002912;0.9597233970972545;1.9713988559542381;58
tolstoy-tsar-fedor-ioannovich;78;3;0.3553113553113553;0.8933353579050735;1.6719946719946719;67
tolstoy-vlast-tmy;24;4;0.2463768115942029;0.7254333629333628;2.11231884057971;14
tolstoy-zhivoy-trup;40;5;0.12179487179487179;0.6849411820063994;2.3884615384615384;23
tretyakov-protivogazy;48;2;0.523936170212766;0.9171465587658562;1.476063829787234;47
turgenev-gde-tonko-tam-i-rvetsja;10;3;0.6444444444444445;0.7714285714285715;1.4;8
turgenev-holostjak;11;2;0.7636363636363637;0.877849927849928;1.2363636363636363;10
turgenev-mesjats-v-derevne;13;2;0.9615384615384616;0.9657342657342659;1.0384615384615385;12
turgenev-nahlebnik;14;1;1;1;1;13
turgenev-neostorozhnost;6;2;0.7333333333333333;0.7666666666666666;1.2666666666666666;5
turgenev-provintsialka;7;2;0.8095238095238095;0.9238095238095239;1.1904761904761905;6
turgenev-razgovor-na-bolshoj-doroge;3;1;1;1;1;2
turgenev-vecher-v-sorrente;7;3;0.47619047619047616;0.5190476190476191;1.619047619047619;5
turgenev-zavtrak-u-predvoditelja;11;2;0.8727272727272727;0.9185425685425685;1.1272727272727272;10
fonvizin-nedorosl;15;3;0.6571428571428571;0.8516161616161617;1.3714285714285714;12
fonvizin-korion;5;2;0.9;0.9;1.1;4
fonvizin-vybor-guvernera;12;2;0.6060606060606061;0.8707070707070708;1.393939393939394;11
fonvizin-brigadir;8;2;0.9642857142857143;0.9642857142857143;1.0357142857142858;7
kheraskov-osvobozhdennaja-moskva;22;4;0.2597402597402597;0.6591794569067295;2.012987012987013;12
kheraskov-venecianskaya-monahinya;7;2;0.6666666666666666;0.8666666666666666;1.3333333333333333;6
khlebnikov-snezhimochka;67;2;0.352329262777024;0.9975918725699235;1.1097142857142857;35
khmelnitsky-vzaimnye-ispytaniya;4;1;1;1;1;3
khmelnitsky-govorun;12;2;0.6515151515151515;0.8549663299663299;1.3484848484848484;11
khmelnitsky-vozdushnye-zamki;5;2;0.8;0.8666666666666666;1.2;4
khmelnitsky-svetskiy-sluchay;6;2;0.8666666666666667;0.8999999999999999;1.1333333333333333;5
chekhov-tragik-ponevole;2;1;1;0;1;1
chekhov-svadba;13;2;0.8717948717948718;0.9766899766899767;1.1282051282051282;12
chekhov-tri-sestry;14;2;0.8241758241758241;0.8932844932844933;1.1758241758241759;13
chekhov-noch-pered-sudom;4;2;0.6666666666666666;0.5833333333333334;1.3333333333333333;3
chekhov-leshii;13;2;0.8974358974358975;0.9351981351981351;1.1025641025641026;12
chekhov-predlozhenie;3;1;1;1;1;2
chekhov-chaika;12;2;0.7878787878787878;0.9186868686868688;1.2121212121212122;11
chekhov-medved;3;1;1;1;1;2
chekhov-na-bolshoi-doroge;11;2;0.8545454545454545;0.9183261183261183;1.1454545454545455;10
chekhov-ivanov;17;3;0.5882352941176471;0.8272280007574125;1.4558823529411764;13
chekhov-tatjana-repina;28;1;1;1;1;27
chekhov-djadja-vanja;10;3;0.6666666666666666;0.8023809523809524;1.3777777777777778;8
chekhov-vishnevyi-sad;14;2;0.7252747252747253;0.8601886209029067;1.2747252747252746;12
chekhov-jubilej;5;2;0.9;0.9;1.1;4
shakhovskoy-ne-lubo-ne-slushai;6;1;1;1;1;5
shakhovskoy-pustodomy;12;3;0.7878787878787878;0.8912698412698413;1.2272727272727273;10
shakhovskoy-svoya-semya;8;1;1;1;1;7
shakhovskoy-urok-koketkam;11;2;0.9818181818181818;0.9818181818181819;1.018181818181818;10
