name;size;diameter;density;averageClustering;averagePathLength;maxDegree
buechner-leonce-und-lena;21;3;0.41904761904761906;0.9364076399790685;1.4615384615384615;16
chezy-euryanthe;12;2;0.6818181818181818;0.8410052910052911;1.3181818181818181;10
collin-coriolan;16;2;0.425;0.7598304473304475;1.575;15
cornelius-der-barbier-von-bagdad;18;2;0.48366013071895425;0.8390319556986223;1.5163398692810457;15
cronegk-der-misstrauische;7;1;1;1;1;6
dehmel-die-menschenfreunde;8;2;0.8928571428571429;0.9107142857142856;1.1071428571428572;7
dehmel-michel-michael;35;2;0.7126050420168067;0.8678830254712608;1.2873949579831934;34
devrient-hans-heiling;17;3;0.5588235294117647;0.8557716793010911;1.4558823529411764;15
devrient-die-gunst-des-augenblicks;8;2;0.6785714285714286;0.7714285714285714;1.3214285714285714;7
dovsky-mona-lisa;20;2;0.9421052631578948;0.9742690058479532;1.0578947368421052;19
droste-huelshoff-perdu;10;3;0.6444444444444445;0.7857142857142858;1.4;8
eichendorff-die-freier;11;3;0.7636363636363637;0.8383838383838385;1.2545454545454546;9
eichendorff-der-letzte-held-von-marienburg;55;3;0.26262626262626265;0.8261051701693763;1.8545454545454545;41
eichendorff-das-incognito;57;3;0.32205513784461154;0.9334537003689793;1.8803258145363408;41
engel-eid-und-pflicht;11;3;0.509090909090909;0.8042568542568542;1.509090909090909;9
ertler-das-spiel-von-doktor-faust;22;3;0.19913419913419914;0.663269054178145;1.9210526315789473;12
ertler-belian-und-marpalye;25;3;0.3933333333333333;0.84139497104203;1.65;21
ertler-anna-iwanowna;23;2;0.8260869565217391;0.9263484798953907;1.173913043478261;22
essig-ueberteufel;20;2;0.8421052631578947;0.9216471995496762;1.1578947368421053;19
essig-der-frauenmut;34;2;0.5935828877005348;0.9197996359024954;1.4064171122994653;33
fock-cili-cohrs;5;2;0.5;0.4333333333333334;1.5;4
fouque-sigurd-der-schlangentoedter;26;3;0.3076923076923077;0.8277397073383697;1.7384615384615385;23
fouque-aslauga;65;3;0.21971153846153846;0.8957293775910544;1.8835855646100117;35
fouque-sigurds-rache;50;3;0.3640816326530612;0.8797835618639247;1.6555102040816327;44
freytag-graf-waldemar;19;2;0.5555555555555556;0.8370854120080127;1.4444444444444444;18
freytag-die-journalisten;24;2;0.7391304347826086;0.8771016539764859;1.2608695652173914;23
ganghofer-der-herrgottschnitzer-von-ammergau;22;3;0.5454545454545454;0.7918212838385931;1.4761904761904763;19
gehe-jessonda;14;2;0.9230769230769231;0.9420579420579422;1.0769230769230769;13
gellert-die-betschwester;5;1;1;1;1;4
gellert-die-zaertlichen-schwestern;8;2;0.8571428571428571;0.9285714285714286;1.1428571428571428;7
gemmingen-hornberg-der-deutsche-hausvater;22;3;0.341991341991342;0.8302267177267176;1.7532467532467533;16
gerhaeuser-der-moloch;22;3;0.39826839826839827;0.8367994379358017;1.683982683982684;16
gerstenberg-ugolino;4;1;1;1;1;3
gessner-evander-und-alcimna;15;3;0.24761904761904763;0.5094179894179894;1.9523809523809523;10
gleich-der-eheteufel-auf-reisen;52;3;0.10633484162895927;0.8579517704517705;1.3867924528301887;9
goethe-die-mitschuldigen;4;1;1;1;1;3
goethe-stella;10;2;0.8444444444444444;0.9048412698412699;1.1555555555555554;9
goethe-erwin-und-elmire;4;1;1;1;1;3
goethe-iphigenie-auf-tauris;5;1;1;1;1;4
goethe-torquato-tasso;5;1;1;1;1;4
goethe-die-natuerliche-tochter;11;3;0.32727272727272727;0.6588744588744588;1.7636363636363637;8
goethe-egmont;31;3;0.3655913978494624;0.8598487080666769;1.6486486486486487;24
goethe-clavigo;10;2;0.8444444444444444;0.9059523809523808;1.1555555555555554;9
goethe-der-triumph-der-empfindsamkeit;14;3;0.4725274725274725;0.8572974644403216;1.5934065934065933;11
goethe-der-grosskophta;32;3;0.21975806451612903;0.815043963658031;1.8459657701711492;21
goethe-die-laune-des-verliebten;4;2;0.8333333333333334;0.8333333333333333;1.1666666666666667;3
goethe-der-buergergeneral;7;2;0.9047619047619048;0.9238095238095239;1.0952380952380953;6
goethe-des-epimenides-erwachen;22;6;0.3116883116883117;0.7506034369670732;2.585714285714286;11
goethe-goetz-von-berlichingen-mit-der-eisernen-hand;79;5;0.0866601752677702;0.8517638097048923;2.4850773103200288;46
goethe-proserpina;2;1;1;0;1;1
goethe-goetter-helden-und-wieland;10;1;1;1;1;9
goethe-faust-der-tragoedie-zweiter-teil;189;4;0.11431948665991219;0.9449079704283292;2.3280405405405404;98
goethe-satyros;16;2;0.6416666666666667;0.8824675324675325;1.3583333333333334;15
goethe-faust-eine-tragoedie;115;3;0.20213577421815407;0.9713618643481463;1.7032520325203253;67
gotter-die-geisterinsel;13;2;0.7692307692307693;0.8470529470529471;1.2307692307692308;12
gotter-medea;5;2;0.7;0.7;1.3;4
gotter-der-dorfjahrmarkt;18;3;0.6274509803921569;0.8064253647586981;1.3986928104575163;16
gottsched-der-sterbende-cato;10;3;0.5555555555555556;0.7921428571428571;1.4666666666666666;8
gottsched-atalanta;9;2;0.8888888888888888;0.9365079365079363;1.1111111111111112;8
gottschedin-die-pietisterey-im-fischbein-rocke;16;2;0.44166666666666665;0.8219246031746031;1.5583333333333333;15
gottschedin-das-testament;12;3;0.6363636363636364;0.8282407407407408;1.393939393939394;10
gottschedin-der-witzling;6;2;0.8666666666666667;0.9;1.1333333333333333;5
grabbe-napoleon;259;6;0.08901260064050762;0.9540102381647101;2.83399137899808;106
